,order_purchase_date,sales,bf_flag,cm_flag,bf_cm_w_flag,%_total_sales
323,2017-11-24,155811.64999999877,1398,0,1398,2.46
324,2017-11-25,65885.44000000024,0,0,624,1.04
326,2017-11-27,49662.210000000145,0,495,495,0.78
327,2017-11-28,48482.16000000016,0,0,441,0.76
322,2017-11-23,47096.86000000008,0,0,346,0.74
325,2017-11-26,46862.870000000104,0,0,468,0.74
333,2017-12-04,46348.20000000008,0,0,0,0.73
319,2017-11-20,44165.2200000001,0,0,262,0.7
330,2017-12-01,41417.48000000013,0,0,336,0.65
328,2017-11-29,40319.44000000015,0,0,370,0.64
